phase_ns,object,q,slot,lower,upper
0,muon,0.01,329,0.0018300303517229067,0.008935011605070523
0,muon,0.01,330,0.0018300303517229067,0.009502767362970899
0,muon,0.01,331,0.0018300303517229067,0.009285841813961793
0,muon,0.01,332,0.0018300303517229067,0.008410998036064989
0,muon,0.01,333,0.0018300303517229067,0.007476343510087485
0,muon,0.01,338,0.0018300303517229067,0.0038600249955365114
0,muon,0.01,339,0.0018300303517229067,0.0056739867880735585
0,muon,0.01,340,0.0018300303517229067,0.007372790573111944
0,muon,0.01,341,0.0018300303517229067,0.008935011605070523
0,muon,0.01,342,0.0018300303517229067,0.009502767362970899
0,muon,0.01,343,0.0018300303517229067,0.009285841813961793
0,muon,0.01,344,0.0018300303517229067,0.008410998036064989
0,muon,0.01,345,0.0018300303517229067,0.007476343510087485
0,muon,0.01,350,0.0018300303517229067,0.0038600249955365114
0,muon,0.01,351,0.0018300303517229067,0.0056739867880735585
0,muon,0.01,352,0.0018300303517229067,0.007372790573111944
0,muon,0.01,353,0.0018300303517229067,0.008935011605070523
0,muon,0.01,354,0.0018300303517229067,0.009502767362970899
0,muon,0.01,355,0.0018300303517229067,0.009285841813961793
0,muon,0.01,356,0.0018300303517229067,0.008410998036064989
0,muon,0.01,357,0.0018300303517229067,0.007476343510087485
0,muon,0.01,362,0.0018300303517229067,0.0038600249955365114
